Number,Name,Brand,Release_Year,Concentration,Rating_Value,Rating_Count,Main_Accords,Top_Notes,Middle_Notes,Base_Notes,Perfumers,URL
NA,C for Women,Clive Christian,2010,NA,7.9,67,"Floral, Oriental, Spicy, Sweet, Woody","Pot marigold, Mandarin orange, Narcissus, Bergamot, Cognac, Coriander seed, Geranium, Petitgrain","Tuberose, Jasmine, Orange blossom, Ylang-ylang, Rose, Violet, Cistus, Osmanthus","Amber, Musk, Vanilla, Tonka bean, Vetiver, Sandalwood",NA,https://www.parfumo.com/Perfumes/Clive_Christian/C_for_Women
NA,C: Green Floral,Clive Christian,2017,NA,7.9,13,"Floral, Green, Woody, Sweet, Earthy","Chamomile, Grass, Apple, Dew drop, Pear","Damask rose, Violet, Iris",Oakmoss,NA,https://www.parfumo.com/Perfumes/Clive_Christian/c-green-floral
NA,C: Woody Leather,Clive Christian,2017,NA,8.7,140,"Leathery, Woody, Spicy, Smoky, Oriental",Mandarin orange,Saffron,"Leather, Tobacco, Oud",NA,https://www.parfumo.com/Perfumes/Clive_Christian/c-woody-leather
NA,Camasa,Ensar Oud / Oriscent,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/camasa
NA,Cambodi Black,Ensar Oud / Oriscent,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/Cambodi_Black
NA,Cambodi Cacao,Ensar Oud / Oriscent,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/Cambodi_Cacao
NA,Cambodi Caramel,Ensar Oud / Oriscent,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/Cambodi_Caramel
NA,Cambodi Cologne,Ensar Oud / Oriscent,NA,NA,8.6,28,"Spicy, Woody, Fresh, Fruity, Green","Yuzu, Rosemary, Ginger, Nutmeg, Pineapple","Jasmine, Neroli, Ylang-ylang","Hyraceum, Civet, Patchouli, Cambodian oud, Indian vetiver",NA,https://www.parfumo.com/Perfumes/ensar-oud/cambodi-cologne
NA,Cambodi Kinam,Ensar Oud / Oriscent,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/cambodi-kinam
NA,Candan Sultan,Ensar Oud / Oriscent,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/candan-sultan
NA,Candy Aoud,Roja Parfums,2004,NA,NA,NA,NA,"Apple, Lemon, Manure","Lily of the valley, Peony, Rose, Vexlim","Amber, Woody notes",NA,https://www.parfumo.com/Perfumes/Roja_Parfums/Candy_Aoud
NA,Carbon Animalix,Aaron Terence Hughes,2021,NA,7.6,17,"Sweet, Fresh, Spicy, Powdery, Woody",Bergamot,"Heliotropin, Amber, Vanilla, White blossoms, Woods, Ylang-ylang","Sensual skin accord, Ambergris, Musk","Aaron Terence Hughes Brand owner, Perfume maker",https://www.parfumo.com/Perfumes/Aaron_Terence_Hughes/carbon-animalix-2021
NA,Cedarwood & Bergamot,Aaron Terence Hughes,2019,NA,8.8,4,"Citrus, Green, Floral, Woody, Fresh","Bergamot, Lavender, Lemon, Mandarin orange, Neroli","Jasmine sambac, Vetiver","Amber, Cedar","Aaron Terence Hughes Brand owner, Perfume maker",https://www.parfumo.com/Perfumes/Aaron_Terence_Hughes/Cedarwood__Bergamot
NA,Celestia,Aaron Terence Hughes,2020,NA,7.7,8,"Sweet, Floral, Oriental, Spicy, Resinous",NA,NA,NA,"Aaron Terence Hughes Brand owner, Perfume maker",https://www.parfumo.com/Perfumes/Aaron_Terence_Hughes/celestia
NA,Ceylan Solide,Ensar Oud / Oriscent,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/ceylan-solide
NA,Champa Attar,Areej Le Doré,2022,NA,7.8,14,"Floral, Creamy, Woody, Sweet, Fruity",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Areej_Le_Dore/champa-attar
NA,Chance Chanel 2002 Eau de Parfum,Chanel,2002,Eau de Parfum,7.2,591,"Floral, Fresh, Fruity, Citrus, Sweet","Pink pepper, Iris, Hyacinth, Pineapple","Citrus fruits, Jasmine","Musk, Patchouli, Vanilla, Vetiver",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Chance
NA,Chance Chanel 2002 Eau de Toilette,Chanel,2002,Eau de Toilette,8.1,190,"Floral, Fresh, Fruity, Citrus, Woody","Pink pepper, Iris, Hyacinth, Pineapple","Citrus fruits, Jasmine","Musk, Patchouli, Vanilla, Vetiver",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Chance_Eau_de_Toilette
NA,Chance Chanel Parfum,Chanel,NA,Parfum,8.2,17,"Floral, Citrus, Fruity, Fresh, Green","Pink pepper, Iris, Hyacinth, Pineapple","Citrus fruits, Jasmine","Musk, Patchouli, Vanilla, Vetiver",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Chance_Parfum
NA,Chance Chanel Parfum Cheveux,Chanel,NA,Parfum Cheveux,9.4,4,"Floral, Citrus, Powdery, Green, Fruity",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Chanel/chance-parfum-cheveux
NA,Chance Crayon de Parfum,Chanel,2020,NA,NA,NA,NA,"Pink pepper, Iris, Hyacinth, Pineapple","Citrus fruits, Jasmine","Musk, Patchouli, Vanilla, Vetiver",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/chance-crayon-de-parfum
NA,Chance Eau Fraîche Chanel 2007 Eau de Toilette,Chanel,2007,Eau de Toilette,NA,NA,"Fresh, Citrus, Green, Floral, Woody","Citrus fruits, Cedar","Jasmine, Pink pepper, Water hyacinth","Musk, Iris, Vetiver, Amber, Patchouli, Teakwood",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Chance_Eau_Fraiche_Eau_de_Toilette
NA,Chance Eau Fraîche Chanel 2023 Eau de Parfum,Chanel,2023,Eau de Parfum,7.7,142,"Citrus, Fresh, Floral, Green, Woody",Citron,Jasmine,"Teakwood, Amber",Olivier Polge,https://www.parfumo.com/Perfumes/Chanel/chance-eau-fraiche-eau-de-parfum
NA,Chance Eau Fraîche Chanel Parfum Cheveux,Chanel,NA,Parfum Cheveux,7.7,7,"Fresh, Green, Citrus, Powdery, Woody","Citrus fruits, Cedar","Jasmine, Pink pepper, Water hyacinth","Musk, Iris, Vetiver, Amber, Patchouli, Teakwood",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Chance_Eau_Fraiche_Parfum_Cheveux
NA,Chance Eau Fraîche Crayon de Parfum,Chanel,2020,NA,7,2,"Fresh, Spicy, Citrus, Green","Citrus fruits, Cedar","Jasmine, Pink pepper, Water hyacinth","Musk, Iris, Vetiver, Amber, Patchouli, Teakwood",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/chance-eau-fraiche-crayon-de-parfum
NA,Chance Eau Tendre Chanel 2010 Eau de Toilette,Chanel,2010,Eau de Toilette,NA,NA,"Floral, Fresh, Fruity, Sweet, Powdery","Quince, Grapefruit","Hyacinth, Jasmine","Musk, Iris, Amber, Cedarwood",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Chance_Eau_Tendre_Eau_deToilette
NA,Chance Eau Tendre Chanel 2017 Gel de Parfum,Chanel,2017,Gel de Parfum,8,3,"Floral, Fresh, Fruity, Woody, Powdery","Quince, Grapefruit","Hyacinth, Jasmine","Musk, Iris, Amber, Cedarwood",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/chance-eau-tendre-gel-de-parfum
NA,Chance Eau Tendre Chanel 2019 Eau de Parfum,Chanel,2019,Eau de Parfum,NA,NA,"Floral, Fresh, Fruity, Sweet, Citrus",NA,NA,NA,Olivier Polge,https://www.parfumo.com/Perfumes/Chanel/Chance_Eau_Tendre_Eau_de_Parfum
NA,Chance Eau Tendre Chanel Parfum Cheveux,Chanel,NA,Parfum Cheveux,7.8,12,"Fresh, Floral, Fruity, Citrus, Sweet","Quince, Grapefruit","Hyacinth, Jasmine","Musk, Iris, Amber, Cedarwood",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/chance-eau-tendre-parfum-cheveux
NA,Chance Eau Tendre Crayon de Parfum,Chanel,2020,NA,NA,NA,NA,"Quince, Grapefruit","Hyacinth, Jasmine","Musk, Iris, Amber, Cedarwood",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/chance-eau-tendre-crayon-de-parfum
NA,Chance Eau Vive Chanel 2015 Eau de Toilette,Chanel,2015,Eau de Toilette,7,221,"Fresh, Citrus, Floral, Fruity, Woody","Blood orange, Grapefruit",Jasmine,"Cedar, Iris",Olivier Polge,https://www.parfumo.com/Perfumes/Chanel/Chance_Eau_Vive
NA,Chance Eau Vive Chanel 2016 Parfum Cheveux,Chanel,2016,Parfum Cheveux,6.5,3,"Woody, Fruity, Floral","Blood orange, Grapefruit",Jasmine,"Cedar, Iris",Olivier Polge,https://www.parfumo.com/Perfumes/Chanel/chance-eau-vive-parfum-cheveux
NA,Chanel Eau Vive Crayon de Parfum,Chanel,2020,NA,NA,NA,NA,"Blood orange, Grapefruit",Jasmine,"Cedar, Iris",Olivier Polge,https://www.parfumo.com/Perfumes/Chanel/chanel-eau-vive-crayon-de-parfum
NA,Chen Xiang Khmer,Ensar Oud / Oriscent,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/chen-xiang-khmer
NA,Chenla,Ensar Oud / Oriscent,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/chenla
NA,China Sayang,Ensar Oud / Oriscent,NA,NA,9.8,2,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/china-sayang
NA,Chinese Exclusive,Ensar Oud / Oriscent,NA,NA,8.4,34,"Citrus, Resinous, Fruity, Sweet, Creamy","Bergamot, Peach, Red mandarin orange, Sichuan pepper","Orange blossom, Hinoki cypress, Rose, Saffron, Tuberose","Chinese oud, Beeswax, Sandalwood, Vanilla",NA,https://www.parfumo.com/Perfumes/ensar-oud/chinese-exclusive
NA,Chinese Exclusive Hyang Kang Edition,Ensar Oud / Oriscent,NA,NA,9.7,5,NA,"Bergamot, Mimosa, Peach, Red mandarin orange, Sichuan pepper","Hinoki cypress, Orange blossom, Rose, Saffron, Tuberose","Hongkong oud, Ambergris, Beeswax, Chinese oud, Hyraceum, Sandalwood, Tibetan musk, Vanilla",NA,https://www.parfumo.com/Perfumes/ensar-oud/chinese-exclusive-hyang-kang-edition
NA,Chinese Oud 中國沉香,Areej Le Doré,2021,NA,8.3,115,"Woody, Smoky, Spicy, Oriental, Resinous","Orange, Aldehydes, Bergamot","Chinese oud, Chinese rose otto, Chinese gardenia CO2, Chinese jasmine absolute","Mysore sandalwood, Patchouli, Indonesian vanilla, Oakmoss",NA,https://www.parfumo.com/Perfumes/Areej_Le_Dore/chinese-oud
NA,Chinese Oud II 中國沉香,Areej Le Doré,2023,NA,8.3,80,"Floral, Woody, Creamy, Animal, Spicy","Aldehydes, Orange, Bergamot","Chinese gardenia, Chinese rose, Chinese oud, Chinese jasmine","Mysore sandalwood absolute, Patchouli, Indonesian vanilla, Oakmoss",NA,https://www.parfumo.com/Perfumes/Areej_Le_Dore/chinese-oud-ii
NA,Chocolat Irisé,Annette Neuffer,2012,NA,7.9,117,"Gourmand, Sweet, Floral, Oriental, Spicy","Bergamot, Blackcurrant bud, Indian clementine, Murcott tangerine","Egyptian jasmine, Egyptian orange blossom, Orris root CO2, Persian rose otto","Cocoa absolute, Bourbon vanilla, Mysore sandalwood, Patchouli",Annette Neuffer,https://www.parfumo.com/Perfumes/Annette_Neuffer/Chocolat_Irise
NA,Chocolate Oud,Nabeel,NA,NA,8,3,"Oriental, Spicy, Sweet, Powdery, Woody","Leather, Opoponax, Caramel, Myrrh, Bergamot","Oud, Patchouli, Vanilla, Rosewood","Woody notes, Musk, Sandalwood, Amber, Cedar",NA,https://www.parfumo.com/Perfumes/Nabeel/Chocolate_Oud
NA,"Chocolate, Rose & Oud",Aaron Terence Hughes,2019,NA,8.5,15,NA,Damask rose,"Bourbon vanilla, Dark chocolate, Tonka bean","Burmese oud, Patchouli, Sandalwood","Aaron Terence Hughes Brand owner, Perfume maker",https://www.parfumo.com/Perfumes/Aaron_Terence_Hughes/Chocolate_Rose__Oud
NA,Christina,Nabeel,NA,NA,8.5,2,"Floral, Sweet","Lily, Mandarin orange, Strawberry","Jasmine, Tuberose","Amber, Musk",NA,https://www.parfumo.com/Perfumes/Nabeel/Christina
NA,Christmas Fake,Aaron Terence Hughes,2021,NA,7.4,8,"Spicy, Oriental, Woody, Gourmand, Sweet","Mandarin orange, Amber, Oud","Apple, Cinnamon, Clove, Ginger","Benzoin, Patchouli, White musk","Aaron Terence Hughes Brand owner, Perfume maker",https://www.parfumo.com/Perfumes/Aaron_Terence_Hughes/christmas-fake
NA,Chugoku Jinko,Ensar Oud / Oriscent,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/chugoku-jinko
NA,Chugoku Musko Ensar Oud / Oriscent 2020 Attar,Ensar Oud / Oriscent,2020,Attar,8.5,2,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/chugoku-musko-attar
NA,Chugoku Musko Ensar Oud / Oriscent 2023 Eau de Parfum,Ensar Oud / Oriscent,2023,Eau de Parfum,9.1,5,"Citrus, Spicy, Woody, Fruity, Floral",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/chugoku-musko-eau-de-parfum
NA,Chugoku Naya,Ensar Oud / Oriscent,NA,NA,8.3,2,"Resinous, Smoky, Animal, Sweet, Spicy",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/chugoku-naya
NA,Chypré Extraordinaire,Roja Parfums,2018,NA,8.5,232,"Chypre, Floral, Spicy, Woody, Powdery","Aldehydes, Bergamot","Peach, Tuberose, May rose, Ylang-ylang, Blackcurrant bud, Cistus, Geranium, Grasse jasmine, Orange blossom, Plum, Heliotrope, Violet","Musk, Oakmoss, Styrax, Civet, Iris, Amber, Benzoin, Cedarwood, Clove, Cumin, Leather, Patchouli, Sandalwood, Vanilla, Tonka bean",Roja Dove,https://www.parfumo.com/Perfumes/Roja_Parfums/Chypre_Extraordinaire
NA,Chypre,Chanel,1924,NA,NA,NA,Chypre,NA,NA,NA,Ernest Beaux,https://www.parfumo.com/Perfumes/Chanel/Chypre
NA,Chypre Narcotique Attar,Ensar Oud / Oriscent,2020,NA,8.6,17,"Floral, Green, Spicy, Chypre, Fresh","Lily of the valley, Japanese yuzu, Jasmine sambac, Pink pepper","Rosemary blossom, Jonquil, Tuberose","African vetiver, Oakmoss, Papua oud, Timor sandalwood, Castoreum",NA,https://www.parfumo.com/Perfumes/ensar-oud/chypre-narcotique
NA,Chypre Narcotique Ensar Oud / Oriscent Eau de Parfum,Ensar Oud / Oriscent,NA,Eau de Parfum,NA,NA,NA,"Yuzu, Bergamot, Lily of the valley, Pink pepper","Rosemary, Jasmine, Jonquil, Tuberose","Papua oud, Bourbon vetiver, Castoreum, Tibetan musk",NA,https://www.parfumo.com/Perfumes/ensar-oud/chypre-narcotique-eau-de-parfum
NA,Chypre Narcotique Ensar Oud / Oriscent Pure Parfum,Ensar Oud / Oriscent,NA,Pure Parfum,8.4,31,"Chypre, Spicy, Animal, Citrus, Woody","Yuzu, Bergamot, Lily of the valley, Pink pepper","Rosemary, Jasmine, Jonquil, Tuberose","Papua oud, Bourbon vetiver, Castoreum, Tibetan musk",NA,https://www.parfumo.com/Perfumes/ensar-oud/chypre-narcotique-pure-parfum
NA,Chypre Sultan,Ensar Oud / Oriscent,2021,NA,8.3,20,"Woody, Spicy, Chypre, Floral, Animal",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/chypre-sultan
NA,Chyprette,Annette Neuffer,2020,NA,8.4,75,"Chypre, Spicy, Floral, Green, Woody","Bitter orange, Absinth, Angelica, Bergamot, Chamomile, Violet leaf","Coffee blossom, Iris, Jasmine, Rose, Tobacco, Boronia, Osmanthus, Sunflower","Oakmoss, Cypriol, Labdanum, Sandalwood, Tonka bean, Ambrette seed, Cedar",Annette Neuffer,https://www.parfumo.com/Perfumes/Annette_Neuffer/chyprette
NA,Ciel Man,Amouage,2003,NA,7.2,169,"Floral, Fresh, Spicy, Woody, Fruity","Lavender, Bergamot, Rose, Lily of the valley","Jasmine, Cardamom, Cinnamon, Nutmeg, Peach","Sandalwood, Frankincense, Cedar, Vetiver, Patchouli",NA,https://www.parfumo.com/Perfumes/Amouage/Ciel_for_Him
NA,Ciel Woman,Amouage,2003,NA,7.7,409,"Floral, Fresh, Powdery, Creamy, Sweet","Gardenia, Violet leaf, Cyclamen","Jasmine, Peach aldehyde, Water lily, Rose","Musk, Cedarwood, Sandalwood, Amber, Frankincense",Lucas Sieuzac,https://www.parfumo.com/Perfumes/Amouage/Ciel_for_Her
NA,Cinderella,Nabeel,NA,NA,NA,NA,NA,"Bergamot, Cardamom, Grapefruit, Saffron","Cedar, Jasmine, Oud, Patchouli, Rose","Amber, Tonka bean, White musk",NA,https://www.parfumo.com/Perfumes/Nabeel/Cinderella
NA,Cirrus,Amouage,2006,NA,7.3,13,"Fresh, Citrus, Fruity, Synthetic, Spicy","Green apple, Mandarin orange, Lemon zest, Blackcurrant","Cypress, Geranium, Lavender","Cedarwood, Oakmoss, Amber, Musk, Patchouli, Sandalwood",NA,https://www.parfumo.com/Perfumes/Amouage/Cirrus
NA,City Girl,Nabeel,NA,NA,NA,NA,NA,"Aldehydes, Rose","Geranium, Hyacinth, Jasmine","Musk, Oakmoss",NA,https://www.parfumo.com/Perfumes/Nabeel/City_Girl
NA,Civet Bomb Attar,Areej Le Doré,2022,NA,8.5,2,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Areej_Le_Dore/civet-bomb-attar
NA,Civet de Nuit,Areej Le Doré,2022,NA,7.7,83,"Animal, Floral, Oriental, Creamy, Sweet","Heliotrope, Aldehydes","Civet, Night-blooming jasmine, Ylang-ylang","White ambergris, Oakmoss, Benzoin, Castoreum, Frankincense, Labdanum, Musk, Mysore sandalwood, Styrax, Tobacco",Sultan Pasha Perfume maker,https://www.parfumo.com/Perfumes/Areej_Le_Dore/civet-de-nuit
NA,Civet Musk,Ensar Oud / Oriscent,NA,NA,8.7,14,"Animal, Spicy, Leathery, Resinous, Woody",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/civet-musk
NA,Civet Oud,Ensar Oud / Oriscent,NA,NA,6.2,3,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/civet-oud
NA,Coco Chanel 1984 Eau de Parfum,Chanel,1984,Eau de Parfum,NA,NA,"Spicy, Oriental, Floral, Woody, Powdery","Coriander, Mandarin orange, Frangipani, Pimento","Angelica, Ylang-ylang, Rose, Jasmine, Orange blossom, Cinnamon, Iris","Benzoin, Honey, Patchouli, Amber, Frankincense, Civet, Musk, Tonka bean",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Coco
NA,Coco Chanel 1984 Eau de Toilette,Chanel,1984,Eau de Toilette,NA,NA,"Oriental, Spicy, Floral, Sweet, Powdery","Coriander, Mandarin orange, Frangipani, Pimento","Angelica, Ylang-ylang, Rose, Jasmine, Orange blossom, Cinnamon, Iris","Benzoin, Honey, Patchouli, Amber, Frankincense, Civet, Musk, Tonka bean",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Coco_Eau_de_Toilette
NA,Coco Chanel 1984 Parfum,Chanel,1984,Parfum,9,133,"Floral, Oriental, Spicy, Resinous, Sweet","Coriander, Mandarin orange, Frangipani, Pimento","Angelica, Ylang-ylang, Rose, Jasmine, Orange blossom, Cinnamon, Iris","Benzoin, Honey, Patchouli, Amber, Frankincense, Civet, Musk, Tonka bean",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Coco_Parfum
NA,Coco Chanel Voile Parfumé,Chanel,NA,Voile Parfumé,NA,NA,NA,"Coriander, Mandarin orange, Frangipani, Pimento","Angelica, Ylang-ylang, Rose, Jasmine, Orange blossom, Cinnamon, Iris","Benzoin, Honey, Patchouli, Amber, Frankincense, Civet, Musk, Tonka bean",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Coco_Voile_Parfume
NA,Coco Mademoiselle Chanel 2001 Brume Corps,Chanel,2001,Brume Corps,8.9,5,"Fresh, Floral, Woody, Oriental, Powdery","Orange, Mandarin orange, Bergamot, Orange blossom","Jasmine, Mimosa, Ylang-ylang, Rose","Patchouli, Vetiver, White musk, Opoponax, Tonka bean, Vanilla",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/coco-mademoiselle-brume-corps
NA,Coco Mademoiselle Chanel 2001 Eau de Parfum,Chanel,2001,Eau de Parfum,NA,NA,"Floral, Sweet, Fresh, Fruity, Powdery","Orange, Mandarin orange, Bergamot, Orange blossom","Jasmine, Mimosa, Ylang-ylang, Rose","Patchouli, Vetiver, White musk, Opoponax, Tonka bean, Vanilla",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Coco_Mademoiselle
NA,Coco Mademoiselle Chanel 2001 Eau de Toilette,Chanel,2001,Eau de Toilette,8.1,341,"Floral, Fresh, Fruity, Sweet, Citrus","Grapefruit, Orange, Bergamot","Jasmine, Lychee, Rose","Patchouli, Vetiver, White musk, Bourbon vanilla",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Coco_Mademoiselle_Eau_de_Toilette
NA,Coco Mademoiselle Chanel 2016 Touche de Parfum,Chanel,2016,Touche de Parfum,NA,NA,NA,Orange,"Jasmine, Rose","Patchouli, Vetiver",NA,https://www.parfumo.com/Perfumes/Chanel/Coco_Mademoiselle_Touche_de_Parfum
NA,Coco Mademoiselle Chanel 2018 Eau de Parfum Intense,Chanel,2018,Eau de Parfum Intense,NA,NA,"Floral, Sweet, Fruity, Oriental, Citrus","Sicilian orange, Calabrian bergamot","Jasmine, Rose","Patchouli, Bourbon vanilla, Tonka bean",Olivier Polge,https://www.parfumo.com/Perfumes/Chanel/Coco_Mademoiselle_Eau_de_Parfum_Intense
NA,Coco Mademoiselle Chanel 2023 Parfum Cheveux,Chanel,2023,Parfum Cheveux,NA,NA,"Sweet, Spicy, Floral, Creamy","Orange, Mandarin orange, Bergamot, Orange blossom","Jasmine, Mimosa, Ylang-ylang, Rose","Patchouli, Vetiver, White musk, Opoponax, Tonka bean, Vanilla",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/coco-mademoiselle-2023-parfum-cheveux
NA,Coco Mademoiselle Chanel Parfum,Chanel,NA,Parfum,8.6,77,"Floral, Sweet, Fruity, Fresh, Oriental","Orange, Mandarin orange, Bergamot, Orange blossom","Jasmine, Mimosa, Ylang-ylang, Rose","Patchouli, Vetiver, White musk, Opoponax, Tonka bean, Vanilla",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Coco_Mademoiselle_Parfum
NA,Coco Mademoiselle Chanel Parfum Cheveux,Chanel,NA,Parfum Cheveux,9.7,10,"Floral, Powdery, Fresh, Creamy, Fruity","Grapefruit, Orange, Bergamot","Jasmine, Lychee, Rose","Patchouli, Vetiver, White musk, Bourbon vanilla",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Coco_Mademoiselle_Parfum_Cheveux
NA,Coco Mademoiselle Collection Cambon (Concrète de Parfum),Chanel,2007,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Chanel/Coco_Mademoiselle_Collection_Cambon_Concrete_de_Parfum
NA,Coco Mademoiselle L'Eau,Chanel,2021,NA,7.1,13,"Citrus, Fresh, Floral, Fruity, Oriental",Citrus fruits,"Jasmine, Rose",Oriental notes,Olivier Polge,https://www.parfumo.com/Perfumes/Chanel/coco-mademoiselle-l-eau
NA,Coco Mademoiselle L'Eau Privée,Chanel,2020,NA,7.8,143,"Floral, Fresh, Fruity, Powdery, Citrus",NA,NA,NA,Olivier Polge,https://www.parfumo.com/Perfumes/Chanel/coco-mademoiselle-l-eau-privee
NA,Coco Noir Chanel 2012 Eau de Parfum,Chanel,2012,Eau de Parfum,NA,NA,"Floral, Oriental, Spicy, Powdery, Woody","Orange, Bergamot, Grapefruit","Geranium, Patchouli, Jasmine, Rose","White musk, Frankincense, Sandalwood, Tonka bean, Vanilla",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Coco_Noir
NA,Coco Noir Chanel 2014 Extrait de Parfum,Chanel,2014,Extrait de Parfum,8.4,44,"Floral, Fruity, Sweet, Oriental, Spicy",NA,NA,NA,Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Coco_Noir_Extrait_de_Parfum
NA,Coco Noir Chanel 2018 Parfum Cheveux,Chanel,2018,Parfum Cheveux,NA,NA,NA,"Orange, Bergamot, Grapefruit","Geranium, Patchouli, Jasmine, Rose","White musk, Frankincense, Sandalwood, Tonka bean, Vanilla",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/coco-noir-parfum-cheveux
NA,Comète,Chanel,2024,NA,8,181,"Floral, Powdery, Sweet, Creamy, Spicy",NA,NA,NA,Olivier Polge,https://www.parfumo.com/Perfumes/Chanel/comete
NA,Corazon de Ariza,Ensar Oud / Oriscent,2023,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/corazon-de-ariza
NA,Coromandel Chanel 2007 Eau de Toilette,Chanel,2007,Eau de Toilette,NA,NA,"Oriental, Woody, Spicy, Earthy, Powdery","Bitter orange, Citrus fruits, Neroli","Patchouli, Orris root, Jasmine, Rose","Amber, Benzoin, Frankincense, Musk, Vanilla, White chocolate, Woods","Jacques Polge, Christopher Sheldrake",https://www.parfumo.com/Perfumes/Chanel/Les_Exclusifs_de_Chanel__Coromandel
NA,Coromandel Chanel 2016 Eau de Parfum,Chanel,2016,Eau de Parfum,NA,NA,"Earthy, Woody, Spicy, Sweet, Oriental","Bitter orange, Citrus fruits, Neroli","Patchouli, Orris root, Jasmine, Rose","Amber, Benzoin, Frankincense, Musk, Vanilla, White chocolate, Woods","Jacques Polge, Christopher Sheldrake",https://www.parfumo.com/Perfumes/Chanel/Les_Exclusifs_de_Chanel__Coromandel_Eau_de_Parfum
NA,Coromandel Chanel 2019 Parfum,Chanel,2019,Parfum,8.5,57,"Spicy, Earthy, Woody, Oriental, Resinous","Bitter orange, Citrus fruits, Neroli","Patchouli, Orris root, Jasmine, Rose","Amber, Benzoin, Frankincense, Musk, Vanilla, White chocolate, Woods","Jacques Polge, Christopher Sheldrake",https://www.parfumo.com/Perfumes/Chanel/coromandel-parfum
NA,Crab Apple Blossom,Clive Christian,2020,NA,8.1,223,"Aquatic, Fresh, Fruity, Floral, Green","Marine notes, Bergamot, Apple blossom","Mojito, Green rhubarb","Sandalwood, Driftwood","Kamila Lelakova, CPL Aromas",https://www.parfumo.com/Perfumes/Clive_Christian/crab-apple-blossom
NA,Creme de la Creme,Areej Le Doré,2024,NA,8.1,68,"Spicy, Woody, Creamy, Oriental, Animal","Ambergris, Philippine oud, Clary sage","Spices, Indian sandalwood, Iris, Sandalwood absolute, Jasmine, Pandanus, Ylang-ylang, Rose water","Ambergris, Indonesian oud, Sandalwood CO2",NA,https://www.parfumo.com/Perfumes/Areej_Le_Dore/creme-de-la-creme
